policy	node	fight	outcome	rounds	dmg_taken	dmg_taken_attack	dmg_taken_collision	dmg_taken_spikes	dmg_taken_fall	dmg_dealt	dmg_dealt_attack	dmg_dealt_collision	dmg_dealt_spikes	dmg_dealt_fall	downed	voided	enemies_killed	collisions	pushes
first-legal	0	first-contact	Won	3	5	5	0	0	0	10	10	0	0	0	0	0	4	0	1
first-legal	1	cb-06-bait-and-break	Lost	7	16	16	0	0	0	7	7	0	0	0	4	0	3	0	3
brawler	0	first-contact	Won	3	5	5	0	0	0	9	9	0	0	0	0	0	4	0	1
brawler	1	cb-06-bait-and-break	Won	6	9	9	0	0	0	13	11	2	0	0	2	0	6	1	1
brawler	2	the-teeth	Won	3	5	5	0	0	0	12	5	2	5	0	3	0	4	1	0
brawler	3	broken-bridge	Won	9	3	1	2	0	0	13	11	2	0	0	1	2	4	1	4
shover	0	first-contact	Won	7	11	11	0	0	0	9	5	4	0	0	2	0	4	2	5
shover	1	cb-06-bait-and-break	Lost	7	15	13	2	0	0	9	7	2	0	0	4	0	4	1	5
careful	0	first-contact	Won	4	9	7	2	0	0	10	3	6	1	0	1	0	4	3	3
careful	1	cb-06-bait-and-break	Lost	4	15	15	0	0	0	6	6	0	0	0	4	0	2	0	4
random-a	0	first-contact	Lost	10	22	17	2	3	0	9	6	2	1	0	4	0	3	1	6
random-b	0	first-contact	Won	5	7	6	0	1	0	11	3	2	6	0	0	0	4	1	3
random-b	1	cb-06-bait-and-break	Lost	7	14	14	0	0	0	10	6	4	0	0	4	0	4	1	2
random-c	0	first-contact	Won	6	11	10	0	1	0	9	9	0	0	0	0	0	4	0	1
random-c	1	cb-06-bait-and-break	Lost	4	10	10	0	0	0	8	4	4	0	0	4	0	3	1	2
random-d	0	first-contact	Won	10	14	13	0	1	0	11	9	2	0	0	2	0	4	1	7
random-d	1	cb-06-bait-and-break	Lost	4	12	12	0	0	0	6	4	2	0	0	4	0	2	1	2
random-e	0	first-contact	Lost	9	21	20	0	1	0	8	6	2	0	0	4	0	2	1	4
random-f	0	first-contact	Lost	15	21	21	0	0	0	6	4	2	0	0	4	0	3	1	1
