# faultline run log - campaign, seed and these player decisions replay the run exactly
# enemy commands and node entries are omitted: they are functions of the state
campaign	faultline
seed	1
player	careful
1	0	Vanguard	Deploy	u0	(0,5)
2	0	Wardbearer	Deploy	u2	(6,0)
3	0	Threadcaster	Deploy	u1	(0,6)
4	0	Archer	Deploy	u3	(6,1)
5	0	Vanguard	Move	u0	(1,5)	(1,5)
6	0	Vanguard	Move	u0	(1,4)	(1,4)
7	0	Vanguard	Move	u0	(2,4)	(2,4)
8	0	Vanguard	Ability	u0	BullRush	dir=Up
9	0	Wardbearer	Move	u2	(5,0)	(5,0)
10	0	Wardbearer	Move	u2	(6,0)	(6,0)
11	0	Wardbearer	Move	u2	(5,0)	(5,0)
12	0	Wardbearer	Ability	u2	GuardStance	-
13	0	Threadcaster	Move	u1	(0,5)	(0,5)
14	0	Threadcaster	Move	u1	(1,5)	(1,5)
15	0	Threadcaster	Move	u1	(1,4)	(1,4)
16	0	Threadcaster	Ability	u1	Reel	target=u4
17	0	Archer	Move	u3	(6,0)	(6,0)
18	0	Archer	Move	u3	(6,1)	(6,1)
19	0	Archer	Move	u3	(6,0)	(6,0)
20	0	Archer	End	u3
21	0	Vanguard	Move	u0	(3,1)	(3,1)
22	0	Vanguard	Move	u0	(3,0)	(3,0)
23	0	Vanguard	Ability	u0	BullRush	dir=Right
24	0	Wardbearer	Move	u2	(5,1)	(5,1)
25	0	Wardbearer	Move	u2	(5,0)	(5,0)
26	0	Wardbearer	Move	u2	(5,1)	(5,1)
27	0	Wardbearer	Ability	u2	GuardStance	-
28	0	Threadcaster	Move	u1	(2,4)	(2,4)
29	0	Threadcaster	Move	u1	(2,3)	(2,3)
30	0	Threadcaster	Move	u1	(3,3)	(3,3)
31	0	Threadcaster	Ability	u1	Reel	target=u4
32	0	Archer	Move	u3	(6,1)	(6,1)
33	0	Archer	Move	u3	(6,0)	(6,0)
34	0	Archer	Move	u3	(6,1)	(6,1)
35	0	Archer	Ability	u3	StaggerShot	target=u5
36	0	Vanguard	Move	u0	(5,0)	(5,0)
37	0	Vanguard	Move	u0	(6,0)	(6,0)
38	0	Vanguard	Move	u0	(5,0)	(5,0)
39	0	Vanguard	Ability	u0	BullRush	dir=Right
40	0	Wardbearer	Move	u2	(5,0)	(5,0)
41	0	Wardbearer	Move	u2	(5,1)	(5,1)
42	0	Wardbearer	Move	u2	(5,0)	(5,0)
43	0	Wardbearer	Ability	u2	GuardStance	-
44	0	Threadcaster	Move	u1	(3,4)	(3,4)
45	0	Threadcaster	Move	u1	(3,3)	(3,3)
46	0	Threadcaster	Move	u1	(3,4)	(3,4)
47	0	Threadcaster	Ability	u1	Reel	target=u6
48	0	Archer	Move	u3	(6,2)	(6,2)
49	0	Archer	Move	u3	(6,1)	(6,1)
50	0	Archer	Move	u3	(6,2)	(6,2)
51	0	Archer	Ability	u3	StaggerShot	target=u4
52	0	Vanguard	Move	u0	(6,1)	(6,1)
53	0	Vanguard	Move	u0	(6,0)	(6,0)
54	0	Vanguard	Move	u0	(6,1)	(6,1)
55	0	Vanguard	Ability	u0	BullRush	dir=Up
56	0	Wardbearer	Move	u2	(5,1)	(5,1)
57	0	Wardbearer	Move	u2	(5,0)	(5,0)
58	0	Wardbearer	Move	u2	(5,1)	(5,1)
59	0	Wardbearer	Ability	u2	GuardStance	-
60	0	Archer	Move	u3	(6,1)	(6,1)
61	0	Archer	Move	u3	(6,2)	(6,2)
62	0	Archer	Move	u3	(6,1)	(6,1)
63	0	Archer	Ability	u3	StaggerShot	target=u7
64	0	Vanguard	Move	u0	(5,0)	(5,0)
65	0	Vanguard	Move	u0	(6,0)	(6,0)
66	0	Vanguard	Move	u0	(5,0)	(5,0)
67	0	Vanguard	Ability	u0	BullRush	dir=Right
68	0	Wardbearer	Move	u2	(5,0)	(5,0)
69	0	Wardbearer	Move	u2	(5,1)	(5,1)
70	0	Wardbearer	Move	u2	(5,0)	(5,0)
71	0	Wardbearer	Ability	u2	GuardStance	-
72	0	Archer	Move	u3	(6,2)	(6,2)
73	0	Archer	Move	u3	(6,1)	(6,1)
74	0	Archer	Move	u3	(6,2)	(6,2)
75	0	Archer	End	u3
76	0	Vanguard	Move	u0	(6,1)	(6,1)
77	0	Vanguard	Move	u0	(6,0)	(6,0)
78	0	Vanguard	Move	u0	(6,1)	(6,1)
79	0	Vanguard	Ability	u0	BullRush	dir=Up
80	0	Archer	Move	u3	(6,1)	(6,1)
81	0	Archer	Move	u3	(6,2)	(6,2)
82	0	Archer	Move	u3	(6,1)	(6,1)
83	0	Archer	Ability	u3	StaggerShot	target=u6
84	0	Wardbearer	Move	u2	(5,1)	(5,1)
85	0	Wardbearer	Move	u2	(5,0)	(5,0)
86	0	Wardbearer	Move	u2	(5,1)	(5,1)
87	0	Wardbearer	Ability	u2	SpearThrust	dir=Left
88	0	Vanguard	Move	u0	(5,0)	(5,0)
89	0	Vanguard	Move	u0	(6,0)	(6,0)
90	0	Vanguard	Move	u0	(5,0)	(5,0)
91	0	Vanguard	Ability	u0	BullRush	dir=Right
92	0	Wardbearer	Move	u2	(5,2)	(5,2)
93	0	Wardbearer	Move	u2	(5,1)	(5,1)
94	0	Wardbearer	Move	u2	(5,2)	(5,2)
95	0	Wardbearer	Ability	u2	SpearThrust	dir=Up
96	1	Vanguard	Deploy	u0	(0,5)
97	1	Wardbearer	Deploy	u2	(7,0)
98	1	Threadcaster	Deploy	u1	(1,5)
99	1	Archer	Deploy	u3	(8,0)
100	1	Vanguard	Move	u0	(0,4)	(0,4)
101	1	Vanguard	Move	u0	(0,3)	(0,3)
102	1	Vanguard	Move	u0	(0,2)	(0,2)
