policy	seed	outcome	fights_won	ended_at_node	commands	reason
first-legal	1	Lost	4	5	265	Player A has no units left to field in the-shrine.
brawler	1	Lost	4	5	214	Player A has no units left to field in the-shrine.
shover	1	Lost	2	2	191	Fight lost: the-teeth.
careful	1	Lost	1	1	119	Fight lost: cb-06-bait-and-break.
random-a	1	Lost	1	1	151	Fight lost: cb-06-bait-and-break.
random-b	1	Lost	2	2	176	Fight lost: the-teeth.
random-c	1	Lost	0	0	108	Fight lost: first-contact.
random-d	1	Lost	1	1	136	Fight lost: cb-06-bait-and-break.
random-e	1	Lost	0	0	116	Fight lost: first-contact.
random-f	1	Lost	1	1	121	Fight lost: cb-06-bait-and-break.
