run,camp,node,lane,card_a,card_b,taken,passed,recipient,owner,bound,triggers,cross_flock_triggers,changed_chosen_action,decisions_watched,threats_solved,objectives_touched
"shover-seed3-pick0",1,"c1-first-contact","Neutral","Shelter Step","Short Line","Shelter Step","Short Line","Wardbearer","PlayerB","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,66,0,0
"shover-seed3-pick0",2,"c2-bait-and-break","Safe","Crossing Shot","Greased Feather","Crossing Shot","Greased Feather","Archer","PlayerB","",1,1,0,30,1,0
"shover-seed3-pick1",1,"c1-first-contact","Neutral","Shelter Step","Short Line","Short Line","Shelter Step","Fisher","PlayerA","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",3,0,0,67,2,0
"shover-seed3-pick1",2,"c2-bait-and-break","Safe","Shelter Step","Split Reed","Split Reed","Shelter Step","Archer","PlayerB","",0,0,0,31,0,0
"board-first-seed3-pick0",1,"c1-first-contact","Neutral","Shelter Step","Short Line","Shelter Step","Short Line","Wardbearer","PlayerB","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,37,0,0
"board-first-seed3-pick0",2,"c2-bait-and-break","Safe","Crossing Shot","Greased Feather","Crossing Shot","Greased Feather","Archer","PlayerB","",0,0,0,18,0,0
"board-first-seed3-pick1",1,"c1-first-contact","Neutral","Shelter Step","Short Line","Short Line","Shelter Step","Fisher","PlayerA","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",2,0,0,37,3,1
"board-first-seed3-pick1",2,"c2-bait-and-break","Safe","Shelter Step","Split Reed","Split Reed","Shelter Step","Archer","PlayerB","",0,0,0,18,0,0
"blade-first-seed3-pick0",1,"c1-first-contact","Neutral","Shelter Step","Short Line","Shelter Step","Short Line","Wardbearer","PlayerB","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,37,0,0
"blade-first-seed3-pick0",2,"c2-bait-and-break","Safe","Crossing Shot","Greased Feather","Crossing Shot","Greased Feather","Archer","PlayerB","",0,0,0,18,0,0
"blade-first-seed3-pick1",1,"c1-first-contact","Neutral","Shelter Step","Short Line","Short Line","Shelter Step","Fisher","PlayerA","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",2,0,0,37,3,1
"blade-first-seed3-pick1",2,"c2-bait-and-break","Safe","Shelter Step","Split Reed","Split Reed","Shelter Step","Archer","PlayerB","",0,0,0,18,0,0
"objective-first-seed3-pick0",1,"c1-first-contact","Neutral","Shelter Step","Short Line","Shelter Step","Short Line","Wardbearer","PlayerB","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,331,0,0
"objective-first-seed3-pick0",2,"c2-bait-and-break","Safe","Crossing Shot","Greased Feather","Crossing Shot","Greased Feather","Archer","PlayerB","",0,0,0,312,0,0
"objective-first-seed3-pick0",3,"c3-the-shrine","Safe","Long Boot","Rattling Impact","Long Boot","Rattling Impact","Vanguard","PlayerA","ownership fairness; connector to an owned tag",0,0,0,281,0,0
"objective-first-seed3-pick1",1,"c1-first-contact","Neutral","Shelter Step","Short Line","Short Line","Shelter Step","Fisher","PlayerA","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",3,0,0,331,4,1
"objective-first-seed3-pick1",2,"c2-bait-and-break","Safe","Shelter Step","Split Reed","Split Reed","Shelter Step","Archer","PlayerB","",0,0,0,312,0,0
"objective-first-seed3-pick1",3,"c3-the-shrine","Safe","Big Splash","Hand-Off","Hand-Off","Big Splash","Fisher","PlayerA","",0,0,0,281,0,0
